0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:57:32 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4744
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:57:34 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4657
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:57:38 +0600] "POST /Ebook-App/search.jsp HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:57:39 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4657
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:10 +0600] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:10 +0600] "GET /Ebook-App/index.jsp HTTP/1.1" 200 9893
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:13 +0600] "POST /Ebook-App/search.jsp HTTP/1.1" 200 6544
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:15 +0600] "GET /Ebook-App/view_books.jsp?bid=2 HTTP/1.1" 200 4952
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:20 +0600] "POST /Ebook-App/search.jsp HTTP/1.1" 200 6544
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:24 +0600] "POST /Ebook-App/search.jsp HTTP/1.1" 200 6544
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:26 +0600] "GET /Ebook-App/cart?bid=2&&uid=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:26 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 8150
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:32 +0600] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 8451
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:37 +0600] "GET /Ebook-App/remove_book?bid=2&&uid=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:37 +0600] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 8286
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:37 +0600] "GET /Ebook-App/remove_book?bid=5&&uid=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:37 +0600] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 6799
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:43 +0600] "GET /Ebook-App/remove_book?bid=1&&uid=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:43 +0600] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 6532
0:0:0:0:0:0:0:1 - - [29/Jan/2023:11:59:49 +0600] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5170
